"Antigo","Atual","Quando","Local de Uso","Motivo Específico","Quando Não Usar Nenhuma"
"document.cookie","localStorage ou sessionStorage","Para armazenar dados no cliente de forma mais segura e gerenciável","Armazenamento de dados no cliente","Armazenamento mais seguro e gerenciável de dados do cliente","Quando não há necessidade de armazenar dados no cliente"
"document.createElement e appendChild","Element.insertAdjacentHTML","Para inserir elementos HTML de forma mais direta e eficiente","Inserção de HTML dinâmico","Inserção mais eficiente e segura de conteúdo HTML","Quando não há necessidade de inserir HTML dinamicamente"
"document.createEvent","new Event ou CustomEvent","Para criar eventos personalizados de forma mais moderna e padronizada","Criação de eventos personalizados","Forma mais moderna e padronizada de criar eventos","Quando não há necessidade de criar eventos personalizados"
"document.execCommand('copy')","navigator.clipboard.writeText","Para copiar texto para a área de transferência de forma mais segura e moderna","Copiar texto para a área de transferência","Forma mais segura e moderna de copiar texto para a área de transferência","Quando não há necessidade de copiar texto para a área de transferência"
"document.forms['formName']","document.querySelector('form[name=""formName""]')","Para selecionar formulários de forma mais moderna e flexível","Seleção de formulários","Seleção de formulários de forma mais moderna e flexível","Quando não há necessidade de selecionar formulários"
"document.getElementById","document.querySelector","Para selecionar elementos DOM com mais flexibilidade e consistência","Seleção de elementos DOM","Flexibilidade e consistência na seleção de elementos","Quando não há necessidade de selecionar elementos DOM"
"document.write","DOM manipulation methods","Para evitar práticas inseguras e obsoletas de manipulação do DOM","Atualizações dinâmicas no DOM","Evitar práticas obsoletas e inseguras como document.write","Quando não há necessidade de manipular o DOM"
"document.write('Hello World');","document.getElementById('example').textContent = 'Hello World';","Para evitar práticas inseguras e obsoletas de manipulação do DOM","Atualizações dinâmicas no DOM","Evitar práticas obsoletas e inseguras como document.write","Quando não há necessidade de manipular o DOM"
"element.attachEvent","element.addEventListener","Para adicionar eventos de forma mais padronizada e moderna","Adicionar eventos","Adição de eventos de forma padronizada e moderna","Quando não há necessidade de adicionar eventos"
"element.children","element.childNodes","Para obter todos os nós filhos, incluindo nós de texto e comentário","Obter todos os nós filhos","Forma mais abrangente de obter todos os nós filhos, incluindo nós de texto e comentário","Quando não há necessidade de obter todos os nós filhos"
"element.className = '...'","element.classList.add/remove/toggle","Para manipular classes de elementos de forma mais eficiente e flexível","Manipulação de classes de elementos","Sintaxe mais clara e eficiente para manipulação de classes","Quando não há necessidade de manipular classes de elementos"
"element.innerHTML += '...'","element.insertAdjacentHTML","Para adicionar HTML de forma mais eficiente e segura","Adicionar HTML dinâmico","Forma mais eficiente e segura de adicionar HTML ao DOM","Quando não há necessidade de adicionar HTML dinamicamente"
"Element.offsetTop e Element.offsetLeft","Element.getBoundingClientRect()","Para obter informações de posição e tamanho de elementos de forma mais precisa","Obter informações de posição e tamanho de elementos","Forma mais precisa e moderna de obter informações de posição e tamanho","Quando não há necessidade de obter informações de posição e tamanho"
"element.removeNode","element.remove","Para remover elementos do DOM de forma mais moderna e suportada","Remover elementos do DOM","Método moderno e suportado para remover elementos","Quando não há necessidade de remover elementos do DOM"
"element.scrollIntoView com opções padrão","element.scrollIntoView({ behavior: 'smooth' })","Para uma rolagem suave ao elemento","Rolagem suave ao elemento","Melhorar a experiência do usuário com rolagem suave","Quando não há necessidade de rolar até um elemento"
"element.setAttribute('style', '...')","element.style.property = '...'","Para manipular estilos inline de forma mais clara e controlada","Manipulação de estilos inline","Forma mais clara e controlada de manipular estilos","Quando não há necessidade de manipular estilos"
"element.setAttribute('style', 'color: red');","element.style.color = 'red';","Para manipular estilos inline de forma mais clara e controlada","Manipulação de estilos inline","Forma mais clara e controlada de manipular estilos","Quando não há necessidade de manipular estilos"
"eval()","Secure parsing functions","Para evitar vulnerabilidades de segurança","Avaliação de código dinamicamente","Evitar vulnerabilidades de segurança associadas ao uso de eval","Quando não há necessidade de avaliação de código dinamicamente"
"event.srcElement","event.target","Para acessar o elemento que disparou o evento de forma mais consistente","Acesso ao elemento que disparou o evento","Acesso consistente e confiável ao alvo do evento","Quando não há eventos sendo disparados"
"for (const value of asyncIterable) { await someFunction(value); }","for await (const value of asyncIterable) { await someFunction(value); }","Para iterar sobre dados assíncronos","Funções assíncronas que processam listas de dados","Simplifica o código e melhora a legibilidade ao lidar com promessas em loop","Quando não há necessidade de iteração assíncrona"
"for loops","for...of ou forEach","Para iterar sobre arrays de forma mais clara e moderna","Iterações sobre arrays","Sintaxe mais clara e moderna, melhorando a legibilidade","Quando não há necessidade de iterar sobre arrays"
"for...in","Object.keys/values/entries","Para iterar sobre as propriedades de objetos de forma mais segura","Iterar sobre propriedades de objetos","Iteração mais segura e controlada sobre propriedades de objetos","Quando não há necessidade de iterar sobre as propriedades de objetos"
"for...in para arrays","for...of","Para iterar sobre elementos de um array de forma mais segura e eficiente","Iterar sobre elementos de um array","Iteração mais segura e eficiente sobre arrays","Quando não há necessidade de iterar sobre elementos de um array"
"function","Arrow functions (=>)","Para funções anônimas e manter o contexto do this","Funções anônimas e callbacks","Manter o contexto de this e sintaxe mais concisa","Quando não há necessidade de criar funções dinâmicas"
"function getData() { return new Promise((resolve, reject) => { ... }); }","async function getData() { ... }","Para lidar com promessas de forma mais simples e legível","Funções assíncronas","Simplificação de promessas","Quando não há necessidade de operações assíncronas"
"function resolveAfter2Seconds(x) { return new Promise(resolve => setTimeout(() => resolve(x), 2000)); }","async function resolveAfter2Seconds(x) { return await new Promise(resolve => setTimeout(() => resolve(x), 2000)); }","Para lidar com operações assíncronas de forma mais legível e gerenciável","Operações assíncronas complexas","Melhor legibilidade e manejo de fluxos assíncronos","Quando não há operações assíncronas a serem realizadas"
"function sum(a, b) { return a + b; }","const sum = (a, b) => a + b;","Para funções anônimas e manter o contexto do this","Funções anônimas e callbacks","Manter o contexto de this e sintaxe mais concisa","Quando não há necessidade de criar funções dinâmicas"
"function.call(context, arg1, arg2)","function.apply(context, [arg1, arg2])","Para passar um array de argumentos de forma mais eficiente e clara","Passar arrays como argumentos","Sintaxe mais legível para passar múltiplos argumentos","Quando não há necessidade de passar múltiplos argumentos"
"Function.prototype.apply","Spread operator (...)","Para passar arrays como argumentos de funções de forma mais legível","Passar arrays como argumentos","Sintaxe mais legível para passar múltiplos argumentos","Quando não há necessidade de passar múltiplos argumentos"
"Function.prototype.bind","Arrow functions (=>)","Para preservar o contexto de this de forma mais concisa e legível","Preservar contexto de this","Sintaxe mais concisa e legível para funções anônimas","Quando não há necessidade de preservar o contexto de this"
"Funções IIFE para escopo","Módulos ES6 (import/export)","Para melhor modularização e reutilização de código, mantendo o escopo privado","Modularização e escopo privado","Melhor modularização e reutilização de código","Quando não há necessidade de modularização de código"
"getElementsByClassName","querySelectorAll","Para selecionar elementos DOM com mais flexibilidade e compatibilidade moderna","Seleção de elementos DOM","Seleção de elementos com mais flexibilidade e compatibilidade moderna","Quando não há necessidade de selecionar elementos DOM"
"HTMLElement.style.cssText","CSSStyleDeclaration (ex. element.style.property = 'value')","Para manipular estilos inline de forma mais controlada e eficiente","Manipulação de estilos inline","Forma mais controlada e eficiente de manipulação de estilos","Quando não há necessidade de manipular estilos inline"
"if (a == b) { ... }","if (a === b) { ... }","Para comparações rigorosas em JavaScript","Comparações rigorosas","Evitar erros de tipo nas comparações em JavaScript","Quando não há necessidade de comparações rigorosas"
"if (array.indexOf(element) !== -1) { ... }","if (array.includes(element)) { ... }","Para verificar se um array contém um elemento","Verificação de elementos em arrays","Sintaxe mais simples e legível","Quando não há necessidade de verificar elementos em arrays"
"if (obj && obj.prop) { ... }","if (obj?.prop) { ... }","Para verificar propriedades de objetos","Manipulação de objetos","Sintaxe mais clara e segura","Quando não há necessidade de verificar propriedades"
"if (obj.hasOwnProperty('key')) { ... }","if (Object.hasOwn(obj, 'key')) { ... }","Para verificar a propriedade de um objeto","Manipulação de objetos","Verificação mais segura de propriedades","Quando não há necessidade de verificar propriedades"
"if (obj.hasOwnProperty('prop')) { ... }","if (Object.prototype.hasOwnProperty.call(obj, 'prop')) { ... }","Para verificar a propriedade de um objeto","Manipulação de objetos","Verificação mais segura de propriedades","Quando não há necessidade de verificar propriedades de objetos"
"if (obj.hasOwnProperty('prop')) { ... }","if (Object.hasOwn(obj, 'prop')) { ... }","Para verificar a propriedade de um objeto de forma mais segura","Manipulação de objetos","Verificação mais segura de propriedades","Quando não há necessidade de verificar propriedades"
"if (str.startsWith('abc')) { ... }","str.padStart(10, '0');","Para preencher strings","Manipulação de strings","Melhor formatação de strings","Quando não há necessidade de preencher strings"
"Inline styles","CSS classes","Para separar estrutura e estilo, melhorar manutenção e performance","Aplicação de estilos","Separar estrutura HTML e estilo CSS, melhorar manutenção e performance","Quando não há necessidade de alterar estilos"
"innerHTML","textContent","Para inserir texto e evitar vulnerabilidades de XSS","Elementos de texto estático","Evitar vulnerabilidades de XSS ao inserir texto puro","Quando não há necessidade de inserir texto dinamicamente"
"JSON.parse(JSON.stringify(obj)) para clonar objetos","structuredClone(obj)","Para clonar objetos de forma mais eficiente e segura","Clonar objetos","Clonagem de objetos de forma eficiente e segura","Quando não há necessidade de clonar objetos"
"let xhr = new XMLHttpRequest();","fetch(url).then(response => response.json()).then(data => console.log(data));","Para fazer requisições assíncronas de forma mais simples e moderna","Requisições HTTP assíncronas","Simplicidade e promessa embutida para melhor gerenciamento de requisições","Quando não há necessidade de fazer requisições HTTP"
"Manipulação de classes com strings","Manipulação de classes com classList","Para adicionar, remover e alternar classes de forma mais eficiente e sem riscos de erros de digitação","Manipulação de classes","Adicionar, remover e alternar classes de forma mais eficiente e segura","Quando não há necessidade de manipular classes"
"Math.pow(2, 3);","2 ** 3;","Para realizar operações de potência","Cálculos matemáticos","Sintaxe mais concisa","Quando não há necessidade de cálculos exponenciais"
"Math.pow(2, 53) - 1;","Number.MAX_SAFE_INTEGER;","Para obter o maior número inteiro seguro","Manipulação de números","Sintaxe mais clara e eficiente","Quando não há necessidade de manipular números grandes"
"Math.pow(x, y);","x ** y;","Para realizar operações matemáticas de potência","Cálculos matemáticos","Sintaxe mais concisa e legível","Quando não há necessidade de cálculos exponenciais"
"Math.random()","Cryptographically secure methods","Para gerar números aleatórios seguros (ex. crypto.getRandomValues())","Geração de números aleatórios em segurança","Garantir segurança criptográfica, por exemplo, com crypto.getRandomValues()","Quando não há necessidade de geração de números aleatórios"
"navigator.getUserMedia","navigator.mediaDevices.getUserMedia","Para acessar a câmera e o microfone de forma mais segura e moderna","Acesso à câmera e microfone","Forma mais segura e moderna de acessar mídia do dispositivo","Quando não há necessidade de acessar a câmera e o microfone"
"new Date().getTime()","Date.now()","Para obter o timestamp atual de forma mais direta e eficiente","Obter timestamp atual","Forma mais direta e eficiente de obter o timestamp","Quando não há necessidade de obter o timestamp atual"
"new RegExp('pattern')","Literal de expressão regular (/pattern/)","Para criar expressões regulares de forma mais legível e eficiente","Criação de expressões regulares","Sintaxe mais legível e eficiente para criar expressões regulares","Quando não há necessidade de criar expressões regulares"
"Object.assign","Spread operator (...)","Para copiar propriedades de objetos de forma mais concisa e legível","Copiar e combinar objetos e arrays","Sintaxe mais concisa e legível para operações comuns","Quando não há necessidade de copiar ou combinar objetos e arrays"
"Object.entries(obj).forEach(([key, value]) => { obj[key] = value; });","Object.fromEntries(Object.entries(obj).map(([key, value]) => [key, value]));","Para transformar pares chave-valor em um objeto","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de transformar pares chave-valor"
"Object.getOwnPropertyDescriptors(obj);","Object.entries(obj).reduce((descriptors, [key, value]) => { descriptors[key] = { value }; return descriptors; }, {});","Para obter descritores de propriedades","Manipulação de objetos","Sintaxe mais eficiente","Quando não há necessidade de obter descritores de propriedades"
"Object.prototype.hasOwnProperty","Object.hasOwn","Para verificar a propriedade de um objeto de forma mais segura e moderna","Verificar propriedade de objeto","Verificação mais segura e moderna de propriedades de objetos","Quando não há necessidade de verificar propriedades de objetos"
"Promise.resolve().then(() => { ... });","async () => { ... }","Para operações assíncronas","Funções assíncronas","Simplificação de operações assíncronas","Quando não há necessidade de operações assíncronas"
"promise.then(() => { /* success / }).catch(() => { / error / }).finally(() => { / always */ });","promise.finally(() => { /* always */ });","Para garantir que ações de limpeza sejam executadas independentemente do resultado da promessa","Qualquer lugar onde promessas são usadas e necessitam de um bloco final de limpeza","Reduz a duplicação de código","Quando não há ações de limpeza necessárias após a promessa"
"require()","import/export","Para modularização em JavaScript moderno (ES6+)","Modularização de código JavaScript","Melhor reutilização e manutenção de código em JavaScript moderno (ES6+)","Quando não há necessidade de modularização de código"
"setInterval","requestAnimationFrame","Para animações mais suaves e eficientes, sincronizadas com a taxa de atualização da tela","Animações","Animações mais suaves e eficientes, sincronizadas com a taxa de atualização da tela","Quando não há necessidade de animações"
"SQL Queries sem preparação","Prepared Statements","Para prevenir injeções SQL","Consultas SQL dinâmicas","Prevenir injeções SQL e melhorar a segurança","Quando não há necessidade de consultas SQL dinâmicas"
"String concatenation","Template literals","Para construir strings de forma mais eficiente e legível","Construção de strings complexas","Sintaxe mais legível e eficiente para interpolação de strings","Quando não há necessidade de construção de strings complexas"
"String.prototype.match","RegExp.prototype.test","Para testar uma string contra uma expressão regular de forma mais eficiente","Testar strings contra expressões regulares","Forma mais eficiente e legível de testar strings","Quando não há necessidade de testar strings contra expressões regulares"
"switch (response.status) { case 200: handleSuccess(); break; case 404: handleNotFound(); break; default: handleError(); }","match (response.status) { when 200 -> handleSuccess(), when 404 -> handleNotFound(), when _ -> handleError() }","Para lógica condicional complexa","Controle de fluxo","Sintaxe mais clara e menos propensa a erros","Quando não há necessidade de lógica condicional complexa"
"try { ... } catch (e) { ... }","try { ... } catch { ... }","Para simplificar blocos try-catch","Tratamento de exceções","Sintaxe mais clara e eficiente","Quando não há necessidade de tratamento de exceções"
"try { ... } catch (error) { console.error(error); }","try { ... } catch (error) { console.error('An error occurred:', error); }","Para adicionar contexto a erros","Tratamento de exceções","Melhorar a depuração e rastreamento de erros","Quando não há necessidade de tratamento de exceções"
"try...catch","Optional chaining (?.)","Para acessar propriedades de objetos sem necessidade de try...catch","Acesso a propriedades de objetos","Evitar erros ao acessar propriedades inexistentes","Quando não há necessidade de acessar propriedades de objetos"
"try...catch sem finally","try...catch...finally","Para garantir a execução de código de limpeza ou finalização, independentemente do sucesso ou falha da operação","Gerenciamento de exceções","Garantir a execução de código de limpeza ou finalização","Quando não há necessidade de tratamento de exceções"
"Uso de eval para executar código dinamicamente","Function constructor ou safer parsing methods","Para evitar vulnerabilidades de segurança associadas ao eval","Avaliação de código dinamicamente","Evitar vulnerabilidades de segurança associadas ao uso de eval","Quando não há necessidade de avaliação de código dinamicamente"
"var","let ou const","Para declarar variáveis em ES6+; const para constantes, let para variáveis mutáveis","Declaração de variáveis dentro de blocos ou funções","Escopo de bloco para let e constantes imutáveis com const","Quando não há necessidade de declarar novas variáveis"
"var x = 10;","let x = 10; const y = 20;","Para declarar variáveis em ES6+","Declaração de variáveis dentro de blocos ou funções","Escopo de bloco para let e constantes imutáveis com const","Quando não há necessidade de declarar novas variáveis"
"window.location.href para redirecionamento","window.location.assign ou window.location.replace","Para redirecionamentos, com assign adicionando uma entrada no histórico e replace substituindo a atual","Redirecionamentos","assign para adicionar ao histórico, replace para substituir a entrada atual","Quando não há necessidade de redirecionar"
"window.onload","DOMContentLoaded","Para garantir que o DOM esteja totalmente carregado antes da execução","Scripts que manipulam o DOM","Garantir que o DOM esteja totalmente carregado antes da execução","Quando não há scripts que manipulam o DOM"
"XMLHttpRequest","fetch","Para fazer requisições assíncronas de forma mais simples e moderna","Requisições HTTP assíncronas","Simplicidade e promessa embutida para melhor gerenciamento de requisições","Quando não há necessidade de fazer requisições HTTP"
"XMLHttpRequest para requisições assíncronas","async/await com fetch","Para simplificar a escrita de código assíncrono e melhorar a legibilidade","Requisições HTTP assíncronas","Simplificar escrita de código assíncrono e melhorar legibilidade","Quando não há necessidade de fazer requisições HTTP"

